Date,Duration,Distance(MI),KCAL,KCAL/HR,MPH,RPM,Watts
2023416,12.12,3.44,84,416,17,77,106
2023417,22.18,5.17,120,325,15.5,68,83
2023418,25.15,6.82,150,358,16.3,78,92
2023419,33.18,9.2,210,379,16.6,78,97
2023420,34.75,10.04,244,421,17.3,80,108
2023421,35.77,10.33,251,421,17.3,82,108
2023422,35.27,10.36,261,444,17.6,82,114
2023423,36.88,10.91,275,448,17.8,83,115
2023424,35.08,10.42,265,453,17.8,87,116
2023425,34.18,10.13,256,450,17.8,87,115
2023426,38.07,11.08,272,429,17.5,86,110
2023427,15.22,4.19,95,374,16.5,91,96
2023428,37.08,10.66,256,415,17.2,93,106
2023429,12.53,3.89,106,506,18.6,85,129
2023501,34.65,10.51,275,477,18.2,91,122
2023502,38,11.5,300,474,18.2,86,121
2023503,35.67,11.1,303,511,18.7,86,131
2023504,36,11.16,302,504,18.6,78,129
2023505,32,10.03,277,520,18.8,78,133
2023506,33,10.58,302,550,19.2,81,141
2023507,29,9.33,268,555,19.3,83,142
2023508,31,10.16,301,583,19.7,81,149
2023509,32,10.49,311,583,19.7,82,149
2023510,33,10.5,297,539,19.1,82,138
2023512,35,11.44,338,579,19.6,82,148
2023513,33,10.86,323,587,19.7,83,150
2023514,32,10.81,336,630,20.3,85,161
2023515,35,11.84,370,634,20.3,84,162
2023516,34,11.58,365,644,20.4,85,165
2023517,33,11.17,349,634,20.3,86,162
2023522,33,10.97,332,604,19.9,86,155
2023524,32,10.75,331,621,20.1,88,159
2023525,32,10.9,344,644,20.4,85,165
2023526,34,11.74,379,669,20.7,88,171
2023527,33,11.29,359,652,20.5,83,167
2023528,33,11.19,350,636,20.3,84,163
2023529,30,10.2,321,642,20.4,86,164
2023602,36,12.28,389,648,20.5,87,166
2023604,35,12.15,396,680,20.8,86,174
2023605,35,12.09,390,668,20.7,86,171
2023606,30,10.26,325,651,20.5,85,167
2023611,38,12.57,379,598,19.8,83,153
2023612,37,12.45,385,625,20.2,86,160
2023614,37,12.28,372,603,19.9,83,154
2023616,38,12.61,382,603,19.9,84,154
2023617,36,12.04,371,618,20.1,83,158
2023618,41,13.77,425,622,20.2,83,159
